category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
,2 in 1 Exfoliating Glove Bath Scrubber - Gray,2-in-1-exfoliating-glove-bath-scrubber---gray,themallbd,266,https://themallbd.com/product/2-in-1-exfoliating-glove-bath-scrubber-gray,others,Others,"Bathroom shower ball: These practical gloves are for exfoliating the back, neck, shoulders, feet and more, scrubbing gloves.
Body cleaning ball: These bath gloves work with any shower gel or soap to remove bathroom supply.
Shower ball: A shower partner, making your skin clean and smooth, creative shower gloves.
Exfoliating gloves: For exfoliating, to the touch, the material used ensures a pleasant feeling of the respective body area, bathing balls.
Back scrubber ball: The multi-purpose bath glove is for use in taking a shower, shower balls.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/e3f1e689-5f44-4bb2-e7a2-d6448037db00/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/e3f1e689-5f44-4bb2-e7a2-d6448037db00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/42710aca-5b44-4656-9e2f-dc813941dc00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/10188c20-e4d6-4fb8-93c1-f432cb58c100/webapp,,,,,280,BDT,No,,,,,,,,2 in 1 Exfoliating Glove Bath Scrubber - Gray,,,,Themallbd,https://themallbd.com,BD,0
,2 in 1 Exfoliating Glove Bath Scrubber - Light Yellow,2-in-1-exfoliating-glove-bath-scrubber---light-yellow,themallbd,266,https://themallbd.com/product/2-in-1-exfoliating-glove-bath-scrubber-light-yellow,others,Others,"Bathroom shower ball: These practical gloves are for exfoliating the back, neck, shoulders, feet and more, scrubbing gloves.
Body cleaning ball: These bath gloves work with any shower gel or soap to remove bathroom supply.
Shower ball: A shower partner, making your skin clean and smooth, creative shower gloves.
Exfoliating gloves: For exfoliating, to the touch, the material used ensures a pleasant feeling of the respective body area, bathing balls.
Back scrubber ball: The multi-purpose bath glove is for use in taking a shower, shower balls.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/494232ca-73a1-45ce-10fd-cb6013681100/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/494232ca-73a1-45ce-10fd-cb6013681100/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/79879c96-ca17-47bf-479b-fa8e388f7e00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/9a61520c-6763-4881-cc8c-74b960792400/webapp,,,,,280,BDT,No,,,,,,,,2 in 1 Exfoliating Glove Bath Scrubber - Light Yellow,,,,Themallbd,https://themallbd.com,BD,0
,Beauty Formulas Argan Oil Wax Strips Hair Remover 20 Strips •,beauty-formulas-argan-oil-wax-strips-hair-remover-20-strips-•,themallbd,398,https://themallbd.com/product/beauty-formulas-argan-oil-wax-strips-hair-remover-20-strips,beauty-formulas,Beauty Formulas,"Come with new improved grip for legs and body.
A convenient and easy way to ensure effective, long lasting hair removal.
Perfect for use on legs, body and underarms leaving your skin hair free for up to 4 weeks.
Good for all skin types and quick, clean and easy to use.
Made in Spain.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/94aab887-048b-43ac-102d-5fa5c47b0b00/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/94aab887-048b-43ac-102d-5fa5c47b0b00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/ee911f89-e2f0-406a-a774-3640cca36e00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/beba9945-1ac8-47ac-b1fb-f5781f568700/webapp,,,,,419,BDT,Yes,,,,,,,,Beauty Formulas Argan Oil Wax Strips Hair Remover 20 Strips •,,,,Themallbd,https://themallbd.com,BD,1
,2 in 1 Exfoliating Glove Bath Scrubber - Pale Mint,2-in-1-exfoliating-glove-bath-scrubber---pale-mint,themallbd,266,https://themallbd.com/product/2-in-1-exfoliating-glove-bath-scrubber-pale-mint,others,Others,"Bathroom shower ball: These practical gloves are for exfoliating the back, neck, shoulders, feet and more, scrubbing gloves.
Body cleaning ball: These bath gloves work with any shower gel or soap to remove bathroom supply.
Shower ball: A shower partner, making your skin clean and smooth, creative shower gloves.
Exfoliating gloves: For exfoliating, to the touch, the material used ensures a pleasant feeling of the respective body area, bathing balls.
Back scrubber ball: The multi-purpose bath glove is for use in taking a shower, shower balls.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/4f4e8795-91a3-4a55-8ef9-43eae2c3c800/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/4f4e8795-91a3-4a55-8ef9-43eae2c3c800/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/333efbb0-cbfc-4e2a-ae27-0012d89be000/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/63173610-c001-4c2e-30d3-9cb43f456100/webapp,,,,,280,BDT,No,,,,,,,,2 in 1 Exfoliating Glove Bath Scrubber - Pale Mint,,,,Themallbd,https://themallbd.com,BD,0
,2 in 1 Exfoliating Glove Bath Scrubber - Pink,2-in-1-exfoliating-glove-bath-scrubber---pink,themallbd,266,https://themallbd.com/product/2-in-1-exfoliating-glove-bath-scrubber-pink,others,Others,"Bathroom shower ball: These practical gloves are for exfoliating the back, neck, shoulders, feet and more, scrubbing gloves.
Body cleaning ball: These bath gloves work with any shower gel or soap to remove bathroom supply.
Shower ball: A shower partner, making your skin clean and smooth, creative shower gloves.
Exfoliating gloves: For exfoliating, to the touch, the material used ensures a pleasant feeling of the respective body area, bathing balls.
Back scrubber ball: The multi-purpose bath glove is for use in taking a shower, shower balls.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/535bc4e1-bcf2-48eb-e5a7-c56fed581200/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/535bc4e1-bcf2-48eb-e5a7-c56fed581200/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/8aa3efa9-4e8b-4966-48c4-8f18f506ce00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/4a6bcc52-fe4c-46dc-9c68-3de05f4a6900/webapp,,,,,280,BDT,No,,,,,,,,2 in 1 Exfoliating Glove Bath Scrubber - Pink,,,,Themallbd,https://themallbd.com,BD,0
,2pcs Silicone Massage Brush - Baby Pink & Baby Blue,2pcs-silicone-massage-brush---baby-pink-&-baby-blue,themallbd,94,https://themallbd.com/product/2pcs-silicone-massage-brush-baby-pink-baby-blue,,,"Improve the blood circulation of your face by gently massaging, keeping your face fresh and healthy.
Cleaning out of dirt and cuticle effectively on face.
Remove out excessive sebum, dirt, impurities and blackheads effectively from your face and nose area.
Comfortable and gentle even on the most delicate types of skin.
Different size and density of silicone needles for better cleaning and massage.",,,,,,,,,99,BDT,Yes,,,,,,,,2pcs Silicone Massage Brush - Baby Pink & Baby Blue,,,,Themallbd,https://themallbd.com,BD,1
,360 Rotatable Cosmetic Organizer,360-rotatable-cosmetic-organizer,themallbd,1372,https://themallbd.com/product/360-rotatable-cosmetic-organizer,others,Others,"A rotating cosmetic organizer for storing and accessing makeup and skincare products.
360-degree rotation, diamond-patterned design, adjustable trays, large capacity.
Keeps cosmetics organized, saves space, easy to assemble, suitable for all makeup types.

Size:

23cm (diameter) x 30cm (height), weighs approximately 1-1.5kg when empty.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/94823149-dcdc-40c8-a359-9d308243ca00/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/94823149-dcdc-40c8-a359-9d308243ca00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/1a676c7c-5c44-4f30-32f5-20162aba0000/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/efa68eee-d133-47fb-e6a5-19537d920900/webapp,,,,,1444,BDT,No,,,,,,,,360 Rotatable Cosmetic Organizer,,,,Themallbd,https://themallbd.com,BD,0
,3D Massager Roller - Silver,3d-massager-roller---silver,themallbd,361,https://themallbd.com/product/3d-massager-roller-silver,,,"Introducing the 3D Massager Roller - Body Roller, the perfect tool for your daily skincare routine.
This roller is designed to help improve blood circulation, reduce puffiness and promote lymphatic drainage.
It's 3D design allows for a comfortable grip and easy maneuvering on all areas of the body.
Made with high-quality materials, this roller is durable and long-lasting.
Use it on your face, neck, arms, legs and any other areas that need a little extra TLC.
Ideal for those looking to improve their overall skin health and achieve a more youthful appearance.",,,,,,,,,380,BDT,No,,,,,,,,3D Massager Roller - Silver,,,,Themallbd,https://themallbd.com,BD,0
,6 In 1 Multi-Function Blackhead Remover Tool,6-in-1-multi-function-blackhead-remover-tool,themallbd,617,https://themallbd.com/product/6-in-1-multi-function-blackhead-remover-tool,,,"Note: Warranty not Applicable

REDUCE BLACKHEADS & IMPACT: Removing blackheads can be a daunting task but using this doesn't have to be. Gently removes impurities and blackheads from pores without derma squeezing.
Adjustable Strength Level Function: You can easily adjust the suitable suction level in the blackhead remover for your skin areas and know what level it is with the signal light.
Powerful Pore Vacuum: Suction tool gently removes blackheads for a harmless beauty treatment at home. Choose from two power settings for the right one for you.
Suitable For All Skin Types: The Suction Tool Has 4 Adjustable Suction Power Of Blackhead Remover To Meet The Demand Of Different Skin Types.
DERMA 4 HEAD CAPS: Switch the suction head for your needs. Includes Small, Large, Oval and Silicone head, perfect for exfoliating dead skin for spa-like skin rejuvenation.",,,,,,,,,650,BDT,No,,,,,,,,6 In 1 Multi-Function Blackhead Remover Tool,,,,Themallbd,https://themallbd.com,BD,0
,7pcs Makeup Brush Set With Hello Kitty Box - Black,7pcs-makeup-brush-set-with-hello-kitty-box---black,themallbd,332,https://themallbd.com/product/7pcs-makeup-brush-set-with-hello-kitty-box-black,lifestyle,Lifestyle,"The ""7pcs Makeup Brush Set With Hello Kitty Box"" is a charming and practical collection for makeup enthusiasts.
It includes seven essential brushes for various makeup applications, all housed in a delightful Hello Kitty-themed box.
Compact and travel-friendly, this set is perfect for adding a touch of fun and functionality to your beauty routine.",,,,,,,,,350,BDT,No,,,,,,,,7pcs Makeup Brush Set With Hello Kitty Box - Black,,,,Themallbd,https://themallbd.com,BD,0
