category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
doctor-cosmetics,Skya Accutane Anti_Acne Serum 30ml,skya-accutane-anti-acne-serum-30ml,,1690,https://kireibd.com/product/skya-accutane-anti-acne-serum-30ml,,,,,,https://cdn.kireibd.com/storage/all/Skya-Accutane-AntiAcne-Serum-30ml.jpeg,,,,,,,BDT,No,,,0,,,,,Skya Accutane Anti_Acne Serum 30ml,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,Skya HAIRTHRIVE Hair Growth Vitalizer Serum 75ml,skya-hairthrive-hair-growth-vitalizer-serum-75ml,,2490,https://kireibd.com/product/skya-hairthrive-hair-growth-vitalizer-serum-75ml,,,"SKYA Hair Growth Vitalizer Serum with Redensyl, Procapil & Biotin | Promotes Hair Growth & Reduces Hair Fall | Strengthens Roots, Promotes Thicker & Stronger Looking Hair | 100% Irritation Free & Paraben Free | Adds Volume for Women and Men, For All Hair Type",,,https://cdn.kireibd.com/storage/all/Skya-HAIRTHRIVE-Hair-Growth-Vitalizer-Serum-75ml.png,,,,,,,BDT,No,,,5,,,,,Skya HAIRTHRIVE Hair Growth Vitalizer Serum 75ml,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,The Remedist by Dr Rhazes Hyaluronic Acid Facewash 100ml,the-remedist-by-dr-rhazes-hyaluronic-acid-facewash-100ml,,1390,https://kireibd.com/product/the-remedist-by-dr-rhazes-hyaluronic-acid-facewash-100ml,,,"Hyaluronic acid is immensely hydrating in nature and gets absorbed deep into the skin, resulting in a plumping effect that reduces the appearance of fine lines and wrinkles. It is a naturally occurring substance in the skin that helps retain moisture, keeping the skin hydrated and supple. As we age, the production of hyaluronic acid in our skin decreases, leading to dryness and the formation of wrinkles. By using products containing hyaluronic acid, such as serums or moisturizers, you can replenish the skin's moisture levels and improve its overall texture and appearance. Hyaluronic acid is a popular ingredient in skincare products due to its ability to provide intense hydration and anti-aging properties.",,,https://cdn.kireibd.com/storage/all/The-Remedist-by-Dr-Rhazes-Hyaluronic-Acid-Facewash-100ml.png,,,,,,,BDT,No,,,5,,,,,The Remedist by Dr Rhazes Hyaluronic Acid Facewash 100ml,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,Faironomics Gel 40ml,faironomics-gel-40ml,,1500,https://kireibd.com/product/faironomics-gel-40ml,,,,,,https://cdn.kireibd.com/storage/all/Faironomics-Skin-Lightening-Gel-40ml.jpg,,,,,,,BDT,No,,,5,,,,,Faironomics Gel 40ml,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,The Remedist by Dr Rhazes Age Reversal Face Serum 30ml,the-remedist-by-dr-rhazes-age-reversal-face-serum-30ml,,1890,https://kireibd.com/product/the-remedist-by-dr-rhazes-age-reversal-face-serum-30ml,,,"The Remedist by Dr. Rhazes Age Reversal Face Serum is a potent encapsulated retinol-containing serum with Hyaluronic Acid to protect against dryness. Ideal for those seeking anti-aging benefits, addressing pigmentation issues, and improving skin texture.",,,https://cdn.kireibd.com/storage/all/The-Remedist-by-Dr-Rhazes-Age-Reversal-Face-Serum-30ml.png,,,,,,,BDT,No,,,1,,,,,The Remedist by Dr Rhazes Age Reversal Face Serum 30ml,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,Skya ESSONE Ultra Matter Dry Touch Silicone Sunscreen Gel SPF 50+ PA++++ 50g,skya-essone-ultra-matter-dry-touch-silicone-sunscreen-gel-spf-50-pa-50g,,1490,https://kireibd.com/product/skya-essone-ultra-matter-dry-touch-silicone-sunscreen-gel-spf-50-pa-50g,,,"ESSONE Ultra Matter Dry Touch Silicone Sunscreen Gel is as lightweight as a sunscreen gel can get but has wields excellent results. With a velvety touch that does not leave behind a white greasy film on the skin, this product from SKYA offers broad-spectrum sun protection with a PA+++ rating - the highest grade for UVA protection. Equipped with SPF 50, which adeptly blocks 98 per cent of UVB rays thereby preventing sun damage and other skin issues like hyperpigmentation, dullness, and breakouts. The sunscreen gel is also powered with mineral filters, Titanium Dioxide, and Zinc Oxide that provide IR protection.",,,https://cdn.kireibd.com/storage/all/Skya-ESSONE-Ultra-Matter-Dry-Touch-Silicone-Sunscreen-Gel-SPF-50-PA-50g.png,,,,,,,BDT,No,,,6,,,,,Skya ESSONE Ultra Matter Dry Touch Silicone Sunscreen Gel SPF 50+ PA++++ 50g,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,Skya ACCUTANE Anti-Acne Oil Control Face Wash for Rejuvenating Skin 100ml,skya-accutane-anti-acne-oil-control-face-wash-for-rejuvenating-skin-100ml,,1490,https://kireibd.com/product/skya-accutane-anti-acne-oil-control-face-wash-for-rejuvenating-skin-100ml,,,Skya Anti-Acne Oil Control Face Wash for Rejuvenating Skin | Mandelic Acid | Glycolic Acid | Salicylic Acid| Niacinamide | Zinc PCA | D-panthenol & Licorice Extract | Prevents Acne | Post Acne Scars | Controls Excess Oil | For All Skin Types Women and Men.,,,https://cdn.kireibd.com/storage/all/Skya-ACCUTANE-Anti-Acne-Oil-Control-Face-Wash-for-Rejuvenating-Skin-100ml.png,,,,,,,BDT,No,,,5,,,,,Skya ACCUTANE Anti-Acne Oil Control Face Wash for Rejuvenating Skin 100ml,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,GM TRUM Anti Acne Serum 15gm,gm-trum-anti-acne-serum-15gm,,1765,https://kireibd.com/product/gm-trum-anti-acne-serum-15gm,,,,,,https://cdn.kireibd.com/storage/all/GM-TRUM-Anti-Acne-Serum-15gm.png,,,,,,,BDT,No,,,2,,,,,GM TRUM Anti Acne Serum 15gm,,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,"Skya AMVEL-pH Cleansing, Brightening & Moisturizing Syndet Bar 75g",skya-amvel-ph-cleansing-brightening-moisturizing-syndet-bar-75g,,650,https://kireibd.com/product/skya-amvel-ph-cleansing-brightening-moisturizing-syndet-bar-75g,,,,,,https://cdn.kireibd.com/storage/all/Skya-AMVEL-pH-Cleansing-Brightening--Moisturizing-Syndet-Bar-75g.jpg,,,,,,,BDT,No,,,4,,,,,"Skya AMVEL-pH Cleansing, Brightening & Moisturizing Syndet Bar 75g",,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
doctor-cosmetics,"SKYA Moisturizing Cream For Distressed Dry,Itchy & Irritated Skin 75ml",skya-moisturizing-cream-for-distressed-dryitchy-irritated-skin-75ml,,1390,https://kireibd.com/product/skya-moisturizing-cream-for-distressed-dryitchy-irritated-skin-75ml,,,,,,https://cdn.kireibd.com/storage/all/SKYA-Moisturizing-Cream-For-Distressed-DryItchy--Irritated-Skin-75ml.jpg,,,,,,,BDT,No,,,5,,,,,"SKYA Moisturizing Cream For Distressed Dry,Itchy & Irritated Skin 75ml",,Doctor cosmetics,,KireiBD,kireibd.com,BD,0
