category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
,Beaute Melasma-X Glutathione Brightening Tone Up Cream 45 ml,beaute-melasma-x-glutathione-brightening-tone-up-cream-45-ml,,720.00,https://liraimportltd.com/product/beaute-melasma-x-glutathione-brightening-tone-up-cream-45-ml/,beaute,Beaute,"TheBeaute Melasma-X Glutathione Brightening Tone Up Cream(45 ml) isa Korean skincare product designed to provide an instant brightening effect while addressing melasma, hyperpigmentation, and wrinkles with ingredients likeglutathioneandniacinamide.Key Benefits & FeaturesInstant Brightening & Tone-Up Effect: The cream provides an immediate radiant and even appearance to the skin upon application, functioning well as a day cream or makeup primer.Melasma & Dark Spot Care: Key ingredients such as glutathione (1000 ppm), niacinamide, and arbutin work to reduce melanin production, fade existing dark spots, freckles, and melasma, and prevent new discoloration.Hydration & Anti-Aging: Formulated with sodium hyaluronate, ceramides, and hydrolyzed collagen, it offers deep hydration, improves skin elasticity, and helps reduce the appearance of fine lines and wrinkles.Soothing & Protective Ingredients: Extracts like Centella Asiatica (Cica) and Green Tea help to calm sensitive skin and protect against environmental stressors, making it suitable for all skin types.Lightweight Formula: Reviewers note its non-greasy texture that absorbs quickly, which is ideal for daily use in various climates.",,,https://liraimportltd.com/wp-content/uploads/2025/12/Beaute-Glutathione-Brightening-Tone-Up-Cream-45ml-600x600.jpg,,,,,,900.00,BDT,YES,,,0,,,,25094,Beaute Melasma-X Glutathione Brightening Tone Up Cream 45 ml,,FACE CARE,,Lira,liraimportltd.com,BD,1
,Beaute Melasma-X Glutathione Brightening Tone Up Cream 45 ml,beaute-melasma-x-glutathione-brightening-tone-up-cream-45-ml,,720.00,https://liraimportltd.com/product/beaute-melasma-x-glutathione-brightening-tone-up-cream-45-ml/,beaute,Beaute,"TheBeaute Melasma-X Glutathione Brightening Tone Up Cream(45 ml) isa Korean skincare product designed to provide an instant brightening effect while addressing melasma, hyperpigmentation, and wrinkles with ingredients likeglutathioneandniacinamide.Key Benefits & FeaturesInstant Brightening & Tone-Up Effect: The cream provides an immediate radiant and even appearance to the skin upon application, functioning well as a day cream or makeup primer.Melasma & Dark Spot Care: Key ingredients such as glutathione (1000 ppm), niacinamide, and arbutin work to reduce melanin production, fade existing dark spots, freckles, and melasma, and prevent new discoloration.Hydration & Anti-Aging: Formulated with sodium hyaluronate, ceramides, and hydrolyzed collagen, it offers deep hydration, improves skin elasticity, and helps reduce the appearance of fine lines and wrinkles.Soothing & Protective Ingredients: Extracts like Centella Asiatica (Cica) and Green Tea help to calm sensitive skin and protect against environmental stressors, making it suitable for all skin types.Lightweight Formula: Reviewers note its non-greasy texture that absorbs quickly, which is ideal for daily use in various climates.",,,https://liraimportltd.com/wp-content/uploads/2025/12/Beaute-Glutathione-Brightening-Tone-Up-Cream-45ml-600x600.jpg,,,,,,900.00,BDT,Yes,,,0,,,,25094,Beaute Melasma-X Glutathione Brightening Tone Up Cream 45 ml,,FACE CARE,,Lira,liraimportltd.com,BD,1
,Dear Body Perfume (Winter Woods),dear-body-perfume-(winter-woods),,440.00,https://liraimportltd.com/product/dear-body-perfume-winter-woods/,dear-body,Dear Body,"This fragrance opens with a vibrant blend of Italian Bergamot,Meyer Lemon,Mandarin,Juicy Pear Nectar,and Lush Raspberries,creating a burst of citrusy and fruity freshness that instantly uplifts the senses.As it evolves,the heart notes of Purple Freesia,White Tuberose,White Jasmine,and Soft Violet Petals come into play,infusing the scent with a delicate and floral bouquet,evoking a sense of elegance and femininity.Finally,the base notes of Creamy Sandalwood,Whipped Vanilla,and Musk provide a creamy and sensual foundation,leaving a lingering trail of warmth and subtle sweetness.Together,these elements create a captivating and well-rounded fragrance that combines the invigorating zest of citrus fruits,the beauty of blooming flowers,and the comforting embrace of creamy and musky accords,resulting in an enchanting and unforgettable olfactory experience.",,,https://liraimportltd.com/wp-content/uploads/2025/06/主图单图-33-600x787.jpg,,,,,,550.00,BDT,Yes,,,0,,,,24294,Dear Body Perfume (Winter Woods),,PERFUME,,Lira,liraimportltd.com,BD,1
,Revolution Man Eau De Toilette 100ml (Transcendent),revolution-man-eau-de-toilette-100ml-(transcendent),,2040.00,https://liraimportltd.com/product/revolution-man-eau-de-toilette-100ml-transcendent/,,,"THE DETAILSPRODUCT CODE:1695169Introducing the new fragrance collection by Revolution Man. Immerse yourself in six new powerful scents. Timeless scents at an affordable price .Transcendent by Revolution Man is a bold and audacious scent, inspired by bravery.This adventurous and fresh scent opens with Calabrian Bergamot and Pink pepper, followed by touches of a leather scent, and finishing with touches of patchouli, lasting throughout your day.Top notes:  Calabrian Bergamot, pink pepper, clary sageMiddle notes:  leather, Haitian vetiverBase notes:Indonesian patchouli, cacao pod and ambroxanVegan & Cruelty-Free",,,https://liraimportltd.com/wp-content/uploads/2024/03/21879-Revolution-Man-Transcendent-EDT-1-600x600.jpg,,,,,,2550.00,BDT,Yes,,,0,,,,21879,Revolution Man Eau De Toilette 100ml (Transcendent),,MEN PERFUME,,Lira,liraimportltd.com,BD,1
,Dear Body Perfume (Warm & Pleasant),dear-body-perfume-(warm-&-pleasant),,440.00,https://liraimportltd.com/product/dear-body-perfume-warm-pleasant/,dear-body,Dear Body,"This fragrance opens with a playful combination of wild strawberries,pear blossom,and apple nectar,creating a sweet and juicy top accord.The heart notes unveil a captivating blend of jasmine,plum,freesia,and dewy honeysuckle,infusing the scent with a delicate and floral allure.As the fragrance develops,the base notes of amber,vanilla,and sugared musk emerge,leaving a warm and sensual trail.This perfume harmoniously combines the lusciousness of ripe fruits,the enchantment of floral blossoms,and the warmth of creamy and sweet accords,resulting in a delightful and captivating fragrance experience.",,,https://liraimportltd.com/wp-content/uploads/2025/06/主图单图-3-600x787.jpg,,,,,,550.00,BDT,Yes,,,0,,,,24297,Dear Body Perfume (Warm & Pleasant),,PERFUME,,Lira,liraimportltd.com,BD,1
,Revolution Body Mist Spray (Revolutionary Noir (100 Ml),revolution-body-mist-spray-(revolutionary-noir-(100-ml),,1080.00,https://liraimportltd.com/product/revolution-body-mist-spray-revolutionary-noir-100-ml/,,,"THE DETAILSIntroducing the new Fragrance Collection from Revolution Beauty. Lose yourself in luxurious scents, with instant glamour in a bottle.The body mists are perfect for throwing in your handbag and taking with you on the go.Revolutionary Noir Body Mist by Revolution Beauty is a sweetly, sophisticated fragrance for all night soirees.This spicy and sweet scent opens with vanilla and coffee notes that build with a warm-spicy undertone. The perfect night-time scent.INGREDIENTSALCOHOL DENAT., AQUA (WATER, EAU), PARFUM (FRAGRANCE), BENZOPHENONE-3, BHT, BENZYL SALICYLATE, HYDROXYCITRONELLAL, LINALOOL, HEXYL CINNAMAL, CITRONELLOL, LIMONENE, GERANIOL, CINNAMYL ALCOHOL.",,,https://liraimportltd.com/wp-content/uploads/2024/03/21870-Revolution-Body-Mist-Spray-Revolutionary-Noir-3-600x600.jpg,,,,,,1350.00,BDT,Yes,,,0,,,,21870,Revolution Body Mist Spray (Revolutionary Noir (100 Ml),,BODY MIST,,Lira,liraimportltd.com,BD,1
,Dear Body Perfume (Holiday Mood),dear-body-perfume-(holiday-mood),,440.00,https://liraimportltd.com/product/dear-body-perfume-holiday-mood/,dear-body,Dear Body,"This fragrance opens with a vibrant burst of citrus,green notes,and pomelo,creating a lively and invigorating top accord.The heart reveals a beautiful blend of floral and fruity notes,adding a delicate and enticing touch to the fragrance.As the scent evolves,the base notes of vanilla,musk,and ambergris emerge,leaving a warm and sensual trail.This perfume embodies a harmonious combination of refreshing citrus,captivating florals,and comforting musky undertones,resulting in a captivating and alluring fragrance experience.",,,https://liraimportltd.com/wp-content/uploads/2025/06/主图单图-1-600x787.jpg,,,,,,550.00,BDT,Yes,,,0,,,,24293,Dear Body Perfume (Holiday Mood),,PERFUME,,Lira,liraimportltd.com,BD,1
,Revolutionary Eau De Toilette 100ml,revolutionary-eau-de-toilette-100ml,,2040.00,https://liraimportltd.com/product/revolutionary-eau-de-toilette-100ml/,,,"THE DETAILSIntroducing the new Fragrance Collection from Revolution Beauty. Lose yourself in luxurious scents, with instant glamour in a bottle. Revolutionary Eau De Toilette by Revolution Beauty is a seductively, feminine fragrance and your new go-to, daytime scent. This beautifully floral perfume opens with sweet vanilla, followed by fruity, patchouli and woody undertones, that will linger into the night… Try the 10ml bottle to smell deliciously sweet on-the-go",,,https://liraimportltd.com/wp-content/uploads/2024/03/21881-Revolution-Revolutionary-EDT-1-600x600.jpg,,,,,,2550.00,BDT,Yes,,,0,,,,21881,Revolutionary Eau De Toilette 100ml,,PERFUME,,Lira,liraimportltd.com,BD,1
,Revolution Body Mist Spray (Revolutionary (100 Ml),revolution-body-mist-spray-(revolutionary-(100-ml),,1080.00,https://liraimportltd.com/product/revolution-body-mist-spray-revolutionary-100-ml/,,,"THE DETAILSIntroducing the new Fragrance Collection from Revolution Beauty. Lose yourself in luxurious scents, with instant glamour in a bottle.These body mists are perfect for throwing in your handbag and taking with you on the go.Revolutionary Body Mist by Revolution Beauty is a seductively, feminine fragrance and your new go-to, daytime scent.This beautifully floral perfume opens with sweet vanilla, followed by fruity, patchouli and woody undertones, that will linger into the night..INGREDIENTSALCOHOL DENAT., AQUA (WATER, EAU), PARFUM (FRAGRANCE), BENZOPHENONE-3, BHT, BENZYL SALICYLATE, LINALOOL, LIMONENE, ALPHA-ISOMETHYL IONONE, CITRONELLOL, COUMARIN, HEXYL CINNAMAL.",,,https://liraimportltd.com/wp-content/uploads/2024/03/21869-Revolution-Body-Mist-Spray-Revolutionary-3-600x600.jpg,,,,,,1350.00,BDT,Yes,,,0,,,,21869,Revolution Body Mist Spray (Revolutionary (100 Ml),,BODY MIST,,Lira,liraimportltd.com,BD,1
,Dear Body Perfume (Endless Missing),dear-body-perfume-(endless-missing),,440.00,https://liraimportltd.com/product/dear-body-perfume-endless-missing/,dear-body,Dear Body,"This fragrance begins with the invigorating top notes of Mandarin (Green), Tomato Leaves,and Violet Leaves,creating a vibrant and citrusy opening that awakens the senses.As it develops,the heart notes of Plumeria,Tuberose,and Violet emerge,infusing the scent with a rich and floral bouquet that exudes elegance and femininity.Finally,the base notes of Cedarwood,Sandalwood,and Musks provide a warm and grounding foundation,leaving a lingering trail of woody and musky accords.The combination of these elements forms a captivating and well-rounded fragrance that balances freshness,floral sophistication, and a comforting sensuality.",,,https://liraimportltd.com/wp-content/uploads/2025/06/1-17-600x787.jpg,,,,,,550.00,BDT,Yes,,,0,,,,24295,Dear Body Perfume (Endless Missing),,PERFUME,,Lira,liraimportltd.com,BD,1
