category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
,AMD Ryzen 7 5700G Custom Desktop PC,,,44200,https://www.startech.com.bd/amd-ryzen-7-5700g-custom-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/31452-03-500x500.webp,,,,,,48000,BDT,Yes,,,Reviews (0),,,,31452,AMD Ryzen 7 5700G Custom Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Asus NUC 13 Pro Core i3 13th Gen Portable Mini PC With RAM & SSD,,,55500,https://www.startech.com.bd/asus-nuc-13-pro-core-i3-mini-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/mini-pc/asus/nuc-13-pro/asus-nuc-13-pro-1-500x500.webp,,,,,,60500,BDT,Yes,,,Reviews (0),,,,47086,Asus NUC 13 Pro Core i3 13th Gen Portable Mini PC With RAM & SSD,,Desktop,,StarTech,startech.com.bd,BD,1
,Asus Nuc 14 Essential Core 3 N355 Portable Mini Pc,,,32000,https://www.startech.com.bd/asus-nuc-14-essential-core-3-n355-mini-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/mini-pc/asus/asus-nuc-14-essential/asus-nuc-14-essential-1-500x500.webp,,,,,,37400,BDT,Yes,,,Reviews (0),,,,41825,Asus Nuc 14 Essential Core 3 N355 Portable Mini Pc,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 5600GT Budget Desktop PC,,,42100,https://www.startech.com.bd/amd-ryzen-5-5600gt-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38204-05-500x500.webp,,,,,,46000,BDT,Yes,,,Reviews (0),,,,38204,AMD Ryzen 5 5600GT Budget Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Asus NUC 13 Pro Core i3 13th Gen Portable Mini Pc,,,40500,https://www.startech.com.bd/asus-nuc-13-pro-core-i3-13th-gen-mini-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/mini-pc/asus/nuc-13-pro/asus-nuc-13-pro-1-500x500.webp,,,,,,45500,BDT,Yes,,,Reviews (0),,,,41837,Asus NUC 13 Pro Core i3 13th Gen Portable Mini Pc,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 2400G Desktop PC,,,31799,https://www.startech.com.bd/amd-ryzen-5-2400g-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/31744-500x500.webp,,,,,,35400,BDT,Yes,,,Reviews (2),,,,31744,AMD Ryzen 5 2400G Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 3400G Processor Gaming Desktop PC,,,34200,https://www.startech.com.bd/amd-ryzen-5-3400g-processor-gaming-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/44878-02-500x500.webp,,,,,,37300,BDT,Yes,,,Reviews (1),,,,44878,AMD Ryzen 5 3400G Processor Gaming Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 5600G Budget Desktop PC,,,41500,https://www.startech.com.bd/amd-ryzen-5-5600g-budget-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/35208-20-500x500.webp,,,,,,45000,BDT,Yes,,,Reviews (0),,,,35208,AMD Ryzen 5 5600G Budget Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Intel 12th Gen Core i5-12400 Desktop PC,,,50100,https://www.startech.com.bd/intel-12th-gen-core-i5-12400-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38909-03-500x500.webp,,,,,,54000,BDT,Yes,,,Reviews (2),,,,38909,Intel 12th Gen Core i5-12400 Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 3 2200G Desktop PC,,,29999,https://www.startech.com.bd/amd-ryzen-3-2200g-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/47054-500x500.webp,,,,,,34000,BDT,Yes,,,Reviews (1),,,,47054,AMD Ryzen 3 2200G Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 3 3200G Desktop PC,,,31600,https://www.startech.com.bd/amd-ryzen-3-3200g-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-3-3200g-desktop-pc-0009-500x500.webp,,,,,,35300,BDT,Yes,,,Reviews (0),,,,47055,AMD Ryzen 3 3200G Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Intel 10th Gen Core i5-10400 Desktop PC,,,42800,https://www.startech.com.bd/intel-10th-gen-core-i5-10400-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-10th-gen-core-i5-10400-desktop-pc-0009-500x500.webp,,,,,,46200,BDT,Yes,,,Reviews (0),,,,31209,Intel 10th Gen Core i5-10400 Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Intel Core i3-12100 12th Gen Budget Desktop PC,,,43100,https://www.startech.com.bd/intel-core-i3-12100-12th-gen-budget-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/35123-02-500x500.webp,,,,,,46800,BDT,Yes,,,Reviews (0),,,,35123,Intel Core i3-12100 12th Gen Budget Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 7 7700 Gaming PC,,,218500,https://www.startech.com.bd/amd-ryzen-7-7700-gaming-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/39796-03-500x500.webp,,,,,,239000,BDT,Yes,,,Reviews (0),,,,39796,AMD Ryzen 7 7700 Gaming PC,,Desktop,,StarTech,startech.com.bd,BD,1
,"Apple iMac M4 Chip 256GB SSD 24"" 4.5K Retina Display All-in-One PC (Late 2024)",,,210000,https://www.startech.com.bd/apple-imac-m4-256gb-ssd-24-inch-all-in-one-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/all-in-one-pc/apple/imac-m4/green/imac-m4-green-01-500x500.webp,,,,,,245000,BDT,Yes,,,Reviews (1),,,,39638,"Apple iMac M4 Chip 256GB SSD 24"" 4.5K Retina Display All-in-One PC (Late 2024)",,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 8400F Gaming Desktop PC,,,136000,https://www.startech.com.bd/amd-ryzen-5-8400f-gaming-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/44051-03-500x500.webp,,,,,,149300,BDT,Yes,,,Reviews (0),,,,44051,AMD Ryzen 5 8400F Gaming Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Intel Core i7 14700K 14th Gen Gaming Desktop PC,,,207600,https://www.startech.com.bd/intel-core-i7-14700k-14th-gen-gaming-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38993-02-500x500.webp,,,,,,228700,BDT,Yes,,,Reviews (0),,,,38993,Intel Core i7 14700K 14th Gen Gaming Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 7500F Processor Gaming PC,,,178300,https://www.startech.com.bd/amd-ryzen-5-7500f-processor-gaming-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/46144-03-500x500.webp,,,,,,196200,BDT,Yes,,,Reviews (0),,,,46144,AMD Ryzen 5 7500F Processor Gaming PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Intel Core i5 14400 14th Gen Gaming Desktop PC,,,173500,https://www.startech.com.bd/intel-core-i5-14400-14th-gen-gaming-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/42223-02-500x500.webp,,,,,,189500,BDT,Yes,,,Reviews (0),,,,42223,Intel Core i5 14400 14th Gen Gaming Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,"Apple iMac M4 Chip 10 Core GPU 24GB RAM 24"" 4.5K Retina Display All-in-One PC (Late 2024)",,,305000,https://www.startech.com.bd/apple-imac-m4-24gb-ram-24-inch-aio-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/all-in-one-pc/apple/imac-m4/silver/imac-m4-silver-01-500x500.webp,,,,,,335500,BDT,Yes,,,Reviews (0),,,,39647,"Apple iMac M4 Chip 10 Core GPU 24GB RAM 24"" 4.5K Retina Display All-in-One PC (Late 2024)",,Desktop,,StarTech,startech.com.bd,BD,1
,Intel Core Ultra 7 265K Gaming Desktop PC,,,271500,https://www.startech.com.bd/intel-core-ultra-7-265k-gaming-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/39000-500x500.webp,,,,,,297400,BDT,Yes,,,Reviews (0),,,,39000,Intel Core Ultra 7 265K Gaming Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Intel Core Ultra 9 285K Gaming PC,,,943000,https://www.startech.com.bd/intel-core-ultra-9-285k-gaming-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-ultra-9-285k-gaming-pc-500x500.webp,,,,,,1049070,BDT,Yes,,,Reviews (0),,,,45455,Intel Core Ultra 9 285K Gaming PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 7600 Desktop PC,,,78240,https://www.startech.com.bd/amd-ryzen-5-7600-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-desktop-pc-38905-500x500.webp,,,,,,85600,BDT,Yes,,,Reviews (0),,,,38905,AMD Ryzen 5 7600 Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 8600G Desktop PC,,,82500,https://www.startech.com.bd/amd-ryzen-5-8600g-desktop-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8600g-desktop-pc-001-500x500.webp,,,,,,89700,BDT,Yes,,,Reviews (0),,,,34922,AMD Ryzen 5 8600G Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Apple Mac Mini M4 chip with 10-core CPU 10-Core GPU 16GB Memory 256GB Storage US variant (Inactive),,,79500,https://www.startech.com.bd/apple-mac-mini-m4-16gb-memory-256gb-storage,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/mac-mini/mac-mini-m4/mac-mini-m4-01-500x500.webp,,,,,,85720,BDT,Yes,,,Reviews (3),,,,38792,Apple Mac Mini M4 chip with 10-core CPU 10-Core GPU 16GB Memory 256GB Storage US variant (Inactive),,Desktop,,StarTech,startech.com.bd,BD,1
,Intel 13th Gen Core i5 13400 Budget Desktop PC with Monitor,,,78000,https://www.startech.com.bd/intel-13th-gen-core-i5-13400-budget-desktop-pc-with-monitor,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-13th-gen-core-i5-13400-budget-desktop-pc-with-monitor-0009-500x500.webp,,,,,,86000,BDT,Yes,,,Reviews (0),,,,38783,Intel 13th Gen Core i5 13400 Budget Desktop PC with Monitor,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 7 7700 Budget Gaming Desktop PC,,,70500,https://www.startech.com.bd/amd-ryzen-7-7700-budget-gaming-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-7700-budget-gaming-pc-0009-500x500.webp,,,,,,77600,BDT,Yes,,,Reviews (2),,,,39241,AMD Ryzen 7 7700 Budget Gaming Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,AMD Ryzen 5 8500G Gaming Desktop PC,,,83700,https://www.startech.com.bd/amd-ryzen-5-8500g-gaming-pc,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-gaming-pc-01-500x500.webp,,,,,,91000,BDT,Yes,,,Reviews (0),,,,45276,AMD Ryzen 5 8500G Gaming Desktop PC,,Desktop,,StarTech,startech.com.bd,BD,1
,Apple Mac Mini M4 Chip with 10-core CPU 10-Core GPU 16GB Memory 256GB Storage China Variant (Inactive),,,74500,https://www.startech.com.bd/apple-mac-mini-m4-chip-256gb-storage,,,,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/mac-mini/mac-mini-m4/mac-mini-m4-01-500x500.webp,,,,,,80850,BDT,Yes,,,Reviews (3),,,,44865,Apple Mac Mini M4 Chip with 10-core CPU 10-Core GPU 16GB Memory 256GB Storage China Variant (Inactive),,Desktop,,StarTech,startech.com.bd,BD,1
