category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
,Nature Beauty Healthy Glowing Moisturizing Body Lotion 200ml (Buy 1 Get 1 Free),nature-beauty-healthy-glowing-moisturizing-body-lotion-200ml-(buy-1-get-1-free),themallbd,332,https://themallbd.com/product/nature-beauty-healthy-glowing-moisturizing-body-lotion-200ml-buy-1-get-1-free,nature-beauty,Nature Beauty,"Pamper your skin in the luxurious nourishment of Nature Beauty Healthy Glowing Moisturizing Body Lotion.
Formulated with Niacinamide and Alpha Arbutin which helps to restore glow in the skin.
Deeply moisturizes leaving it healthy and bouncy.
Non-Greasy.
Deeply Moisturizes.
Unlocks Skin’s Natural Glow.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/0747a314-ed26-48d8-c8e4-087ba1b2fa00/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/0747a314-ed26-48d8-c8e4-087ba1b2fa00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/0747a314-ed26-48d8-c8e4-087ba1b2fa00/format=auto,,,,,350,BDT,Yes,,,,,,,,Nature Beauty Healthy Glowing Moisturizing Body Lotion 200ml (Buy 1 Get 1 Free),,,,Themallbd,https://themallbd.com,BD,1
,Technic Pressed Pigment Eyeshadow Palette - Boujee •,technic-pressed-pigment-eyeshadow-palette---boujee-•,themallbd,807,https://themallbd.com/product/technic-pressed-pigment-eyeshadow-palette-boujee,technic,Technic,"The latest design in our X15 Pressed Pigment Palettes.
With a mixture of pressed glitters, foiled shimmers and buttery matte shades.
A mixture of mustard tones, rich browns and golden shimmers.
It contains both matte and shimmer shades and a variety of tones to achieve a spectacular look.
Suitable for Vegans & for Vegetarians.
Developed in England.
Cruelty Free.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/2611c2f7-cf0f-4975-e40b-af76c4554200/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/2611c2f7-cf0f-4975-e40b-af76c4554200/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/0ba98310-9cb6-474d-1c07-17e78a55c200/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/f652b9a6-bc62-44c8-2351-d5b5ba14b400/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/6d5206c6-df7d-4675-ccc8-e4fa55c30400/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/6d5206c6-df7d-4675-ccc8-e4fa55c30400/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/2611c2f7-cf0f-4975-e40b-af76c4554200/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/0ba98310-9cb6-474d-1c07-17e78a55c200/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/f652b9a6-bc62-44c8-2351-d5b5ba14b400/format=auto,,,,,850,BDT,Yes,,,,,,,,Technic Pressed Pigment Eyeshadow Palette - Boujee •,,,,Themallbd,https://themallbd.com,BD,1
,W7 Just Mattes 30 Pressed Pigments Eyeshadow Palette,w7-just-mattes-30-pressed-pigments-eyeshadow-palette,themallbd,1757,https://themallbd.com/product/w7-just-mattes-30-pressed-pigments-eyeshadow-palette,w7,W7,"W7 Just Mattes Eyeshadow Palette contains 30 pigmented shades of soft and silky neutrals in a just matte finish.
With shades ranging from simple beige nudes to rich and dusky tones.
Just Mattes allows you to create diverse looks varying from sophisticated, daytime glam to looks for an eye-catching, evening flair.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/56c23228-bf35-4f6e-637c-93dd4b1e4f00/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/56c23228-bf35-4f6e-637c-93dd4b1e4f00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/08f397b5-962c-4df5-fd4d-89a07457ee00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/8ff532a5-4628-4e5c-4594-9faf708e1b00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/9c8451c7-e40b-440e-27eb-9a23df1dec00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/e202d576-da67-45fb-f309-26c4d390cf00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/03a394c1-ab83-4884-1bb1-d659a378bf00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/03a394c1-ab83-4884-1bb1-d659a378bf00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/56c23228-bf35-4f6e-637c-93dd4b1e4f00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/08f397b5-962c-4df5-fd4d-89a07457ee00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/8ff532a5-4628-4e5c-4594-9faf708e1b00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/9c8451c7-e40b-440e-27eb-9a23df1dec00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/e202d576-da67-45fb-f309-26c4d390cf00/format=auto,,,,,1850,BDT,No,,,,,,,,W7 Just Mattes 30 Pressed Pigments Eyeshadow Palette,,,,Themallbd,https://themallbd.com,BD,0
,Pinkflash Lasting Matte Loose Powder 6g - 222 (PF - F06),pinkflash-lasting-matte-loose-powder-6g---222-(pf---f06),themallbd,275,https://themallbd.com/product/pinkflash-lasting-matte-loose-powder-6g-222-pf-f06,pinkflash,PINKFLASH,"It is favorite for long lasting makeup, control shine, brightening and balancing pores and even the skin tone.
This finely milled powder can be dusted on with the Bake and Finish Brush, dab on and dust off.
Use the fluffy brush or use the sponge makeup applicator for baking and highlight your contour and highlighted areas.
If you need regions to appear brighter, ensure to damp the sponge and pat on a thick coat of powder and dust it after 2,3 minutes.
Loose powders are a very good alternative for the ones who prefer a luminous, silky, mattifying flawlessly set makeup.
Natural color, waterproof and sweatproof, slightly brighten, make sure your makeup never gets white or gray in a selfie.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/bac21bc1-d2d2-42fa-ad0e-e210d3fca200/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/bac21bc1-d2d2-42fa-ad0e-e210d3fca200/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/88f7a33d-2a20-4fbe-08bd-11db9763bf00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/443569d2-55a1-443b-8347-ea52388ee700/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/3f26d82c-c9c8-4a48-1c5b-28408ae0f000/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/3f26d82c-c9c8-4a48-1c5b-28408ae0f000/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/bac21bc1-d2d2-42fa-ad0e-e210d3fca200/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/88f7a33d-2a20-4fbe-08bd-11db9763bf00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/443569d2-55a1-443b-8347-ea52388ee700/format=auto,,,,,290,BDT,Yes,,,,,,,,Pinkflash Lasting Matte Loose Powder 6g - 222 (PF - F06),,,,Themallbd,https://themallbd.com,BD,1
,Technic Dream Tint Lip Stain - Coral Cloud,technic-dream-tint-lip-stain---coral-cloud,themallbd,379,https://themallbd.com/product/technic-dream-tint-lip-stain-coral-cloud,technic,Technic,"Give lips a touch of unique color with Technic Cosmetics Technic Cosmetics Liquid Lipstick.
Velvety matte finish and light creamy texture.
Does not dry out the lips.
Made in China.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/f068c742-aac8-4558-01c0-fb9b0d08b100/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/f068c742-aac8-4558-01c0-fb9b0d08b100/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/88f3306d-74c3-443f-3530-07e62faf5b00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/640e8383-5538-4feb-c3ef-4bdff2811b00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/640e8383-5538-4feb-c3ef-4bdff2811b00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/f068c742-aac8-4558-01c0-fb9b0d08b100/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/88f3306d-74c3-443f-3530-07e62faf5b00/format=auto,,,,,399,BDT,Yes,,,,,,,,Technic Dream Tint Lip Stain - Coral Cloud,,,,Themallbd,https://themallbd.com,BD,1
,Garnier Skin Active Micellar Cleansing Water For Sensitive Skin 100ml •,garnier-skin-active-micellar-cleansing-water-for-sensitive-skin-100ml-•,themallbd,522,https://themallbd.com/product/garnier-skin-active-micellar-cleansing-water-for-sensitive-skin-100ml,garnier,Garnier,"Micellar cleansing water.
Sensitive skin.
Removes make up + cleanses + soothes.
No alcohol.
Dermatologically and ophthalmologically tested.
Made in Poland.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/8f4d2b37-923a-4f36-eec1-fb8d1bb6e500/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/8f4d2b37-923a-4f36-eec1-fb8d1bb6e500/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/d26fb7da-bf4a-4bc1-1856-a43133ed6500/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/3aeba525-a1e7-4297-2c94-d8ff50995400/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/3aeba525-a1e7-4297-2c94-d8ff50995400/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/8f4d2b37-923a-4f36-eec1-fb8d1bb6e500/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/d26fb7da-bf4a-4bc1-1856-a43133ed6500/format=auto,,,,,549,BDT,Yes,,,,,,,,Garnier Skin Active Micellar Cleansing Water For Sensitive Skin 100ml •,,,,Themallbd,https://themallbd.com,BD,1
,Imagic PROfessional Waterproof Matte Lipstick 4g - 811 Raspberry,imagic-professional-waterproof-matte-lipstick-4g---811-raspberry,themallbd,286,https://themallbd.com/product/imagic-professional-waterproof-matte-lipstick-4g-811-raspberry,imagic,IMAGIC,"IMAGIC Lipstick Matte Long Lasting. This remarkable lipstick is designed for those who demand excellence in their makeup routine.
Achieve vibrant lip color in just one swipe.
Combines a silky texture with a stunning matte finish, ensuring your lips look fabulous without the heavy feel.
Enjoy lasting wear with this waterproof and sweatproof lipstick.
It stays put for up to 12 hours, providing you with confidence throughout your day.
Velvety Comfort: The smooth application offers a velvety feel, making it comfortable to wear all day long without any drag or dryness.
Choose from a variety of natural colors that are perfect for any occasion, whether it’s a casual outing or a formal event.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/3f6e4a93-eab6-4747-be2b-2d1bd72c1700/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/3f6e4a93-eab6-4747-be2b-2d1bd72c1700/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/bec7ce25-d37c-49cf-e9cb-73b2c08ed500/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/1918c0fb-db62-4fc5-6ac0-53dbc524ac00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/57110e35-2725-4b2e-fb6a-7c1821876b00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/098bf648-3b5b-4357-82ed-8058c7a48b00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/033aa54e-5e59-495b-82fe-3607b0b91800/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/29479440-1a27-4819-0e2c-a9be962ac100/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/b674b7ed-c65f-462e-9961-d5d22ac12100/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/e4fdb464-d5b5-4212-9592-6c745e360400/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/e4fdb464-d5b5-4212-9592-6c745e360400/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/3f6e4a93-eab6-4747-be2b-2d1bd72c1700/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/bec7ce25-d37c-49cf-e9cb-73b2c08ed500/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/1918c0fb-db62-4fc5-6ac0-53dbc524ac00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/57110e35-2725-4b2e-fb6a-7c1821876b00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/098bf648-3b5b-4357-82ed-8058c7a48b00/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/033aa54e-5e59-495b-82fe-3607b0b91800/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/29479440-1a27-4819-0e2c-a9be962ac100/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/b674b7ed-c65f-462e-9961-d5d22ac12100/format=auto,,,,,301,BDT,No,,,,,,,,Imagic PROfessional Waterproof Matte Lipstick 4g - 811 Raspberry,,,,Themallbd,https://themallbd.com,BD,0
,Wet n Wild Photo Focus Loose Setting Powder - Translucent,wet-n-wild-photo-focus-loose-setting-powder---translucent,themallbd,949,https://themallbd.com/product/wet-n-wild-photo-focus-loose-setting-powder-translucent,wet-n-wild,Wet n Wild,"A silky weightless setting powder with a touch of sheer coverage to set makeup for lasting wear.
Goes on evenly, blends effortlessly and provides smooth application.
Creates a soft-focus effect to subtly blur the look of fine lines and imperfections.
Translucent - most suitable for fair to medium and tan skin tones or for baking.
Cruelty-free, gluten-free and fragrance-free.
Imported from U.S.A.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/a39bfee1-02f7-42f1-38de-5ee842331800/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/a39bfee1-02f7-42f1-38de-5ee842331800/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/07c53423-2aa5-4cce-8e32-03be9d75c800/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/c4aa1abd-d942-4f0d-6dc3-70e86d66f500/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/c4aa1abd-d942-4f0d-6dc3-70e86d66f500/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/a39bfee1-02f7-42f1-38de-5ee842331800/format=auto;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/07c53423-2aa5-4cce-8e32-03be9d75c800/format=auto,,,,,999,BDT,Yes,,,,,,,,Wet n Wild Photo Focus Loose Setting Powder - Translucent,,,,Themallbd,https://themallbd.com,BD,1
,LMLTOP Eyebrow Razor 3pcs - Purple,lmltop-eyebrow-razor-3pcs---purple,themallbd,237,https://themallbd.com/product/lmltop-eyebrow-razor-3pcs-purple,lmltop,LMLTOP,"Lmltop Eyebrow and Facial Razor is designed to help you achieve precise and flawless facial hair removal.
These razors feature ultra-thin, sharp blades that are perfect for shaping and grooming your eyebrows or removing unwanted facial hair with ease.
The ergonomic design ensures a comfortable grip and precise control, allowing you to achieve a smooth and hair-free complexion effortlessly.
Whether you're tidying up your eyebrows or addressing fine facial hair, the Lmltop Eyebrow and Facial Razor is a versatile, must-have accessory for your beauty routine.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/5d964a18-df3b-4ebe-b8ac-feccf6f1dc00/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/5d964a18-df3b-4ebe-b8ac-feccf6f1dc00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/5d964a18-df3b-4ebe-b8ac-feccf6f1dc00/format=auto,,,,,250,BDT,No,,,,,,,,LMLTOP Eyebrow Razor 3pcs - Purple,,,,Themallbd,https://themallbd.com,BD,0
,Quinsia Anti-Melasma Sheet Mask 30g (Buy 1 Get 1 Free),quinsia-anti-melasma-sheet-mask-30g-(buy-1-get-1-free),themallbd,190,https://themallbd.com/product/quinsia-anti-melasma-sheet-mask-30g-buy-1-get-1-free,quinsia,Quinsia,"Prep your skin for effortless hydration with ultra-light Quinsia Anti-Melasma Sheet Mask, infused with Calendula Flower Extract.
Helps to provide instant moisture and a radiant glow—without any greasy residue. Enjoy deeply hydrated, soothed and happy skin, free from irritation.
Both men and women above the age of 25 can use this product.
Paraben Free, No Silicone, Safe Formula.
Skin Benefits: Brightens, Hydrates, Repairs, Soothes.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/fb506f30-a099-4523-42be-e395e5abc300/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/fb506f30-a099-4523-42be-e395e5abc300/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/fb506f30-a099-4523-42be-e395e5abc300/format=auto,,,,,200,BDT,Yes,,,,,,,,Quinsia Anti-Melasma Sheet Mask 30g (Buy 1 Get 1 Free),,,,Themallbd,https://themallbd.com,BD,1
