category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
smartwatch,COLMI P80 Bluetooth Calling Silver Smart Watch With Silicone Strap,colmi-p80-bluetooth-calling-silver-smart-watch-with-silicone-strap,ryans,2690.0,https://www.ryans.com/colmi-p80-bluetooth-calling-silver-smart-watch-with-silicone-strap,colmi,COLMI,Cellular Network - NoScreen/Display Size. - 1.83 InchWaterproof - YesHeart Rate - YesBand Color - GrayColor - Silver,,,https://www.ryans.com/storage/products/main/colmi-p80-bluetooth-calling-silver-smart-watch-11759912901.webp,,,,,,2920.0,BDT,Yes,,,0,,,,139.01.859.53,COLMI P80 Bluetooth Calling Silver Smart Watch With Silicone Strap,,Smartwatch,,Ryans,ryans.com,BD,1
home-care,Haier HWM120-316S6 12 Kg Top Loading Washing Machine,haier-hwm120-316s6-12-kg-top-loading-washing-machine,ryans,48000.0,https://www.ryans.com/haier-hwm120-316s6-12-kg-top-loading-washing-machine,haier,Haier,Washing Machine Type - AutomaticWashing Capacity - 12 kgDryer Capacity - NoSpin Speed - 800 RPMDoor Type - Tempered GlassChild Lock - YesColor - Dark Jade Silver,,,https://www.ryans.com/storage/products/main/haier-hwm120-316s6-12-kg-top-loading-washing-11765269285.webp,,,,,,52080.0,BDT,Yes,,,0,,,,218.03.266.09,Haier HWM120-316S6 12 Kg Top Loading Washing Machine,,Home Care,,Ryans,ryans.com,BD,1
fridge,Whirlpool Fresh Magic Pro 278L Rosalia Refrigerator #73316,whirlpool-fresh-magic-pro-278l-rosalia-refrigerator-#73316,ryans,48000.0,https://www.ryans.com/whirlpool-fresh-magic-pro-278l-rosalia-refrigerator--73316,whirlpool,Whirlpool,Door - DoubleTotal Capacity - 278 ltrFreezer Position - TopDefrosting Type - FrostColor - Rosalia,,,https://www.ryans.com/storage/products/main/whirlpool-fresh-magic-pro-278l-rosalia-11761223789.webp,,,,,,52080.0,BDT,Yes,,,0,,,,202.01.1014.38,Whirlpool Fresh Magic Pro 278L Rosalia Refrigerator #73316,,Fridge,,Ryans,ryans.com,BD,1
fridge,Singer FBDS260-BG 260L Bottom Mount Refrigerator #SRREF-SS300-FBDS260-BG,singer-fbds260-bg-260l-bottom-mount-refrigerator-#srref-ss300-fbds260-bg,ryans,46990.0,https://www.ryans.com/singer-fbds260-bg-260l-bottom-mount-refrigerator,singer,Singer,Door - DoubleTotal Capacity - 260 ltrFreezer Position - BottomDefrosting Type - FrostColor - Black,,,https://www.ryans.com/storage/products/main/singer-fbds260-bg-260l-bottom-mount-refrigerator-11760181991.webp,,,,,,50980.0,BDT,Yes,,,0,,,,202.01.1017.22,Singer FBDS260-BG 260L Bottom Mount Refrigerator #SRREF-SS300-FBDS260-BG,,Fridge,,Ryans,ryans.com,BD,1
fridge,Hisense RBDG266NAAR/BD3 270L Avatar Red BMF Glass Door Refrigerator,hisense-rbdg266naar/bd3-270l-avatar-red-bmf-glass-door-refrigerator,ryans,47900.0,https://www.ryans.com/hisense-rbdg266naar-bd3-270l-bmf-glass-door-refrigerator,hisense,Hisense,Door - DoubleTotal Capacity - 270 ltrFreezer Position - BottomDefrosting Type - UnmentionedColor - Avatar Red,,,https://www.ryans.com/storage/products/main/hisense-rbdg266naarbd3-270l-avatar-red-bmf-glass-11759992751.webp,,,,,,51970.0,BDT,Yes,,,0,,,,202.01.268.10,Hisense RBDG266NAAR/BD3 270L Avatar Red BMF Glass Door Refrigerator,,Fridge,,Ryans,ryans.com,BD,1
fridge,Beko FTDS23ZBG 231L Black Top Mount Refrigerator #BOREF-BS5-FTDS23Z-BG,beko-ftds23zbg-231l-black-top-mount-refrigerator-#boref-bs5-ftds23z-bg,ryans,43990.0,https://www.ryans.com/beko-ftds23zbg-231l-top-mount-refrigerator,beko,Beko,Door - DoubleTotal Capacity - 231 ltrFreezer Position - TopDefrosting Type - FrostColor - Black,,,https://www.ryans.com/storage/products/main/singer-ftds23zbg-231l-black-top-mount-11759839595.webp,,,,,,47730.0,BDT,Yes,,,0,,,,202.01.1018.02,Beko FTDS23ZBG 231L Black Top Mount Refrigerator #BOREF-BS5-FTDS23Z-BG,,Fridge,,Ryans,ryans.com,BD,1
television,Singer SLE43GU5000TV 43 Inch 4K UHD Google TV #SRTV-SLE43GU5000TV (Official),singer-sle43gu5000tv-43-inch-4k-uhd-google-tv-#srtv-sle43gu5000tv-(official),ryans,43990.0,https://www.ryans.com/singer-sle43gu5000tv-43-inch-4k-uhd-google-tv,singer,Singer,Display Size (Inch) - 43Resolution - 4KDisplay Technology - LEDColor - Black & Silver,,,https://www.ryans.com/storage/products/main/singer-sle43gu5000tv-43-inch-4k-uhd-google-tv-11759059295.webp,,,,,,47730.0,BDT,Yes,,,0,,,,194.01.1017.05,Singer SLE43GU5000TV 43 Inch 4K UHD Google TV #SRTV-SLE43GU5000TV (Official),,Television,,Ryans,ryans.com,BD,1
home-care,Whirlpool Bloomwash PRO H 360 9.5 Kg Top Loading Washing Machine #31496,whirlpool-bloomwash-pro-h-360-9.5-kg-top-loading-washing-machine-#31496,ryans,44000.0,https://www.ryans.com/whirlpool-bloomwash-pro-h-360-9.5-kg-washing-machine,whirlpool,Whirlpool,Washing Machine Type - AutomaticWashing Capacity - 9.5 KgSpin Speed - 749 RPMNumber of Wash Programs - 12Color - Graphite,,,https://www.ryans.com/storage/products/main/whirlpool-bloomwash-pro-h-360-95-kg-top-loading-21765095418.webp,,,,,,47740.0,BDT,Yes,,,0,,,,218.03.1014.08,Whirlpool Bloomwash PRO H 360 9.5 Kg Top Loading Washing Machine #31496,,Home Care,,Ryans,ryans.com,BD,1
home-care,Beko BTL12DT1COD 12 Kg Top Loading Washing Machine,beko-btl12dt1cod-12-kg-top-loading-washing-machine,ryans,45990.0,https://www.ryans.com/beko-btl12dt1cod-12-kg-top-loading-washing-machine,all-brands,All Brands,Washing Capacity - 12 KgSpin Speed - 720 RPMNumber of Wash Programs - 12Child Lock - YesColor - Dark Gray,,,https://www.ryans.com/storage/products/main/beko-btl12dt1cod-12-kg-top-loading-washing-11764939705.webp,,,,,,49900.0,BDT,Yes,,,1,,,,218.03.1018.01,Beko BTL12DT1COD 12 Kg Top Loading Washing Machine,,Home Care,,Ryans,ryans.com,BD,1
air-conditioner,Haier 1 Ton AntirustCool Inverter Pro Split AC #HSU-12AntirustCool(INV)(Pro) (Official),haier-1-ton-antirustcool-inverter-pro-split-ac-#hsu-12antirustcool(inv)(pro)-(official),ryans,45000.0,https://www.ryans.com/haier-hsu-12antirustcool-inv-pro-1-ton-split-ac-official,haier,Haier,Inverter Type - InverterCapacity (Ton) - 1 TonCooling Modes - Cooling OnlyRefrigerant - R32Remote Type - WirelessMounting Mode - WallColor - White,,,https://www.ryans.com/storage/products/main/haier-hsu-12antirustcoolinvpro-1-ton-11760788466.webp,,,,,,48830.0,BDT,Yes,,,0,,,,180.01.266.03,Haier 1 Ton AntirustCool Inverter Pro Split AC #HSU-12AntirustCool(INV)(Pro) (Official),,Air Conditioner,,Ryans,ryans.com,BD,1
