category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
office-equipment,Xprinter XP-420B Thermal Barcode Printer,xprinter-xp-420b-barcode-printer,star-tech,10000.0,https://www.startech.com.bd/xprinter-xp-420b-barcode-printer,xprinter,Xprinter,Xprinter XP-420B Thermal Barcode Printer,,,https://www.startech.com.bd/image/cache/catalog/printer/label-printer/xprinter/xp-420b/xp-420b-1-500x500.jpg,,,,,,10310.0,BDT,Yes,,,0,,,,12509.0,Xprinter XP-420B Thermal Barcode Printer,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,Brother TN-461 Yellow Toner,brother-tn-461-yellow-toner,star-tech,10000.0,https://www.startech.com.bd/brother-tn-461-yellow-toner,brother,Brother,Brother TN-461 Yellow Toner,,,https://www.startech.com.bd/image/cache/catalog/toner/brother/tn-461/tn-461-yellow-01-500x500.jpg,,,,,,10530.0,BDT,Yes,,,0,,,,18389.0,Brother TN-461 Yellow Toner,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,HP 207A Black Original LaserJet Toner,hp-207a-black-original-laserjet-toner,star-tech,10300.0,https://www.startech.com.bd/hp-207a-black-original-laserjet-toner,hp,HP,HP 207A Black Original LaserJet Toner,,,https://www.startech.com.bd/image/cache/catalog/toner/hp-toner/207a-black/207a-black-01-500x500.webp,,,,,,11000.0,BDT,Yes,,,0,,,,30690.0,HP 207A Black Original LaserJet Toner,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,Magcubic HY310 Mini Android Projector,magcubic-hy310-mini-android-projector,star-tech,10200.0,https://www.startech.com.bd/magcubic-hy310-mini-android-projector,magcubic,Magcubic,Magcubic HY310 Mini Android Projector,,,https://www.startech.com.bd/image/cache/catalog/projector/magcubic/hy310-mini/hy310-mini-01-500x500.webp,,,,,,11000.0,BDT,Yes,,,0,,,,47892.0,Magcubic HY310 Mini Android Projector,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,HP DeskJet Ink Advantage 2336 All-in-One Color Printer,hp-deskjet-ink-advantage-2336-all-in-one-printer,star-tech,10000.0,https://www.startech.com.bd/hp-deskjet-ink-advantage-2336-all-in-one-printer,hp,HP,HP DeskJet Ink Advantage 2336 All-in-One Color Printer,,,https://www.startech.com.bd/image/cache/catalog/printer/hp-printer/deskjet-ink-advantage-2336/deskjet-ink-advantage-2336-01-500x500.webp,,,,,,10200.0,BDT,Yes,,,1,,,,15158.0,HP DeskJet Ink Advantage 2336 All-in-One Color Printer,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,Brother TN-461 Magenta Toner,brother-tn-461-magenta-toner,star-tech,10000.0,https://www.startech.com.bd/brother-tn-461-magenta-toner,brother,Brother,Brother TN-461 Magenta Toner,,,https://www.startech.com.bd/image/cache/catalog/toner/brother/tn-461/tn-461-magenta-001-500x500.jpg,,,,,,10530.0,BDT,Yes,,,0,,,,18388.0,Brother TN-461 Magenta Toner,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,Pantum TL-5130XT Black Toner,pantum-tl-5130xt-black-toner,star-tech,10000.0,https://www.startech.com.bd/pantum-tl-5130xt-black-toner,pantum,Pantum,Pantum TL-5130XT Black Toner,,,https://www.startech.com.bd/image/cache/catalog/toner/pantum/tl-5130t/tl-5130-500x500.webp,,,,,,10860.0,BDT,Yes,,,0,,,,40363.0,Pantum TL-5130XT Black Toner,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,HTDZ HT-D38 Gooseneck Microphone,htdz-ht-d38-gooseneck-microphone,star-tech,9840.0,https://www.startech.com.bd/htdz-ht-d38-gooseneck-microphone,htdz,HTDZ,HTDZ HT-D38 Gooseneck Microphone,,,https://www.startech.com.bd/image/cache/catalog/conference-system/htdz/ht-d38/ht-d38-01-500x500.jpg,,,,,,10780.0,BDT,Yes,,,0,,,,21002.0,HTDZ HT-D38 Gooseneck Microphone,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,HTDZ HT-D48 Wired Cardioid Gooseneck Meeting Microphone,htdz-ht-d48-cardioid-microphone,star-tech,10200.0,https://www.startech.com.bd/htdz-ht-d48-cardioid-microphone,htdz,HTDZ,HTDZ HT-D48 Wired Cardioid Gooseneck Meeting Microphone,,,https://www.startech.com.bd/image/cache/catalog/conference-system/htdz/ht-d48/ht-d48-500x500.webp,,,,,,11220.0,BDT,Yes,,,0,,,,43294.0,HTDZ HT-D48 Wired Cardioid Gooseneck Meeting Microphone,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
office-equipment,HP 207A Magenta Original LaserJet Toner,hp-207a-magenta-original-laserjet-toner,star-tech,10300.0,https://www.startech.com.bd/hp-207a-magenta-original-laserjet-toner,hp,HP,HP 207A Magenta Original LaserJet Toner,,,https://www.startech.com.bd/image/cache/catalog/toner/hp-toner/207a-magenta/207a-magenta-01-500x500.webp,,,,,,11000.0,BDT,Yes,,,0,,,,30696.0,HP 207A Magenta Original LaserJet Toner,,Office Equipment,,StarTech,https://www.startech.com.bd,BD,1
